ID,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer
10,False,False,True,False,False,False,False,False,False,False,False,False,False
20,False,False,True,False,False,False,False,False,False,False,False,False,False
30,False,False,True,False,False,False,False,False,False,False,False,False,False
40,False,False,True,False,False,False,False,False,False,False,False,False,False
50,False,False,True,False,False,False,False,False,False,False,False,False,False
60,False,False,True,False,False,False,False,False,False,False,False,False,False
70,False,False,True,False,False,False,False,False,False,False,False,False,False
80,False,False,True,False,False,False,False,False,False,False,False,False,False
130,False,False,True,False,False,False,False,False,False,False,False,False,False
220,False,False,True,False,False,False,False,False,False,False,False,False,False
240,False,False,True,False,False,False,False,False,False,False,False,False,False
280,False,False,True,False,False,False,False,False,False,False,False,False,False
300,False,False,True,False,False,False,False,False,False,False,False,False,False
320,False,False,True,False,False,False,False,False,False,False,False,False,False
340,False,False,True,False,False,False,False,False,False,False,False,False,False
360,False,False,True,False,False,False,False,False,False,False,False,False,False
380,False,False,True,False,False,False,False,False,False,False,False,False,False
400,False,False,True,False,False,False,False,False,False,False,False,False,False
420,False,False,True,False,False,False,False,False,False,False,False,False,False
440,False,False,True,False,False,False,False,False,False,True,False,False,False
500,False,False,True,False,False,False,False,False,False,False,False,False,False
550,False,False,True,False,False,False,False,False,False,False,False,False,False
570,False,False,True,False,False,True,False,False,False,True,False,False,False
620,False,False,True,True,False,False,False,False,False,False,False,False,False
630,False,False,True,False,False,False,False,False,False,False,False,False,False
730,False,False,True,False,False,False,False,False,False,False,False,False,False
1002,False,True,False,False,False,False,False,False,False,False,False,False,False
1200,False,False,True,False,False,False,False,False,False,False,False,False,False
1250,False,False,True,False,False,False,False,False,False,False,False,False,False
1300,False,False,True,False,False,False,False,False,False,False,False,False,False
1500,False,True,False,False,False,True,False,False,False,False,False,False,False
1510,False,True,False,False,False,True,False,False,False,False,False,False,False
1520,False,True,False,False,False,True,False,False,False,False,False,False,False
1530,False,True,False,False,False,False,False,False,False,False,False,False,False
1600,False,False,False,False,False,True,False,False,False,False,False,False,False
1610,False,False,False,False,False,True,False,False,False,False,False,False,False
1620,False,False,False,False,False,True,False,False,False,False,False,False,False
1630,False,False,False,False,False,True,False,False,False,False,False,False,False
1640,False,False,False,False,False,True,False,False,False,False,False,False,False
1670,False,False,False,False,False,True,False,False,False,False,False,False,False
1690,False,False,False,False,False,True,False,False,False,False,False,False,False
1700,False,False,False,False,False,False,True,False,False,False,False,False,False
1840,True,False,False,False,False,False,False,False,False,False,False,False,False
1900,False,False,False,False,False,True,False,False,False,False,False,False,False
1930,False,False,False,False,False,False,True,False,False,False,False,False,False
2100,False,False,True,False,False,False,True,False,False,False,False,False,False
2200,False,False,True,False,False,False,False,False,False,False,False,False,False
2210,False,False,True,False,False,False,False,False,False,False,False,False,False
2270,False,False,True,False,False,False,False,False,False,False,False,False,False
2280,False,False,True,False,False,False,False,False,False,False,False,False,False
2290,False,False,True,False,False,False,False,False,False,False,False,False,False
2300,False,False,True,False,False,False,False,False,False,False,False,False,False
2310,False,False,True,False,False,False,False,False,False,False,False,False,False
2320,False,False,True,False,False,False,False,False,False,False,False,False,False
2330,False,False,True,False,False,False,False,False,False,False,False,False,False
2340,False,False,True,False,False,False,False,False,False,False,False,False,False
2350,False,False,True,False,False,False,False,False,False,False,False,False,False
2360,False,False,True,False,False,False,False,False,False,False,False,False,False
2370,False,False,True,False,False,False,False,False,False,False,False,False,False
2390,False,False,True,False,False,False,False,False,False,False,False,False,False
2400,False,True,True,False,False,False,True,False,False,False,False,False,False
2420,False,True,True,False,False,False,True,False,False,False,False,False,False
2450,False,False,True,False,False,False,False,False,False,False,False,False,False
2500,False,False,True,False,False,False,False,False,False,False,False,False,False
2520,False,True,False,False,True,False,False,False,False,False,False,False,False
2540,False,True,False,False,True,False,False,False,False,False,False,False,False
2570,False,True,False,False,False,False,True,False,False,False,False,False,False
2590,False,False,True,False,False,False,False,False,False,False,False,False,False
2600,False,False,True,False,False,False,False,False,False,False,False,False,False
2610,False,False,True,False,False,False,False,False,False,False,False,False,False
2620,False,False,True,False,False,False,False,False,False,False,False,False,False
2630,False,False,True,False,False,False,False,False,False,False,False,False,False
2640,False,False,True,False,False,False,False,False,False,False,False,False,False
2700,False,False,False,False,False,True,False,True,False,False,False,False,False
2710,False,False,True,False,False,False,False,False,False,False,False,False,False
2720,False,True,True,False,False,True,False,False,False,False,False,False,False
2780,False,False,True,False,False,False,False,False,False,False,False,False,False
2800,False,False,False,False,False,True,False,False,False,False,False,False,False
2810,False,False,False,False,False,True,False,False,False,False,False,False,False
2820,False,False,True,False,False,True,False,True,False,False,False,False,False
2840,False,False,False,False,False,True,False,True,False,False,False,False,False
2850,False,False,False,False,False,True,False,True,False,False,False,False,False
2870,False,False,True,False,False,False,False,True,False,False,False,False,False
